observableId	experimentId	measurement	time	noiseParameters
pSTAT5A_rel	epo_stimulation	7.901072999	0	sd_pSTAT5A_rel
pSTAT5A_rel	epo_stimulation	66.36349397	2.5	sd_pSTAT5A_rel
pSTAT5A_rel	epo_stimulation	81.17132392	5	sd_pSTAT5A_rel
pSTAT5A_rel	epo_stimulation	94.73030806	10	sd_pSTAT5A_rel
pSTAT5A_rel	epo_stimulation	95.11648305	15	sd_pSTAT5A_rel
pSTAT5A_rel	epo_stimulation	91.44171655	20	sd_pSTAT5A_rel
pSTAT5A_rel	epo_stimulation	91.25709923	30	sd_pSTAT5A_rel
pSTAT5A_rel	epo_stimulation	93.67229784	40	sd_pSTAT5A_rel
pSTAT5A_rel	epo_stimulation	88.75423282	50	sd_pSTAT5A_rel
pSTAT5A_rel	epo_stimulation	85.26970322	60	sd_pSTAT5A_rel
pSTAT5A_rel	epo_stimulation	81.13239534	80	sd_pSTAT5A_rel
pSTAT5A_rel	epo_stimulation	76.13592848	100	sd_pSTAT5A_rel
pSTAT5A_rel	epo_stimulation	65.24805913	120	sd_pSTAT5A_rel
pSTAT5A_rel	epo_stimulation	42.59965871	160	sd_pSTAT5A_rel
pSTAT5A_rel	epo_stimulation	25.15779754	200	sd_pSTAT5A_rel
pSTAT5A_rel	epo_stimulation	15.4301824	240	sd_pSTAT5A_rel
pSTAT5B_rel	epo_stimulation	4.596533343	0	sd_pSTAT5B_rel
pSTAT5B_rel	epo_stimulation	29.63454599	2.5	sd_pSTAT5B_rel
pSTAT5B_rel	epo_stimulation	46.04380647	5	sd_pSTAT5B_rel
pSTAT5B_rel	epo_stimulation	81.97473362	10	sd_pSTAT5B_rel
pSTAT5B_rel	epo_stimulation	80.5716093	15	sd_pSTAT5B_rel
pSTAT5B_rel	epo_stimulation	79.03571964	20	sd_pSTAT5B_rel
pSTAT5B_rel	epo_stimulation	75.67238037	30	sd_pSTAT5B_rel
pSTAT5B_rel	epo_stimulation	71.62471986	40	sd_pSTAT5B_rel
pSTAT5B_rel	epo_stimulation	69.06286328	50	sd_pSTAT5B_rel
pSTAT5B_rel	epo_stimulation	67.14738432	60	sd_pSTAT5B_rel
pSTAT5B_rel	epo_stimulation	60.89947629	80	sd_pSTAT5B_rel
pSTAT5B_rel	epo_stimulation	54.80925777	100	sd_pSTAT5B_rel
pSTAT5B_rel	epo_stimulation	43.98128998	120	sd_pSTAT5B_rel
pSTAT5B_rel	epo_stimulation	29.77145816	160	sd_pSTAT5B_rel
pSTAT5B_rel	epo_stimulation	20.08901656	200	sd_pSTAT5B_rel
pSTAT5B_rel	epo_stimulation	10.96184517	240	sd_pSTAT5B_rel
rSTAT5A_rel	epo_stimulation	14.72316822	0	sd_rSTAT5A_rel
rSTAT5A_rel	epo_stimulation	33.76234229	2.5	sd_rSTAT5A_rel
rSTAT5A_rel	epo_stimulation	36.79985129	5	sd_rSTAT5A_rel
rSTAT5A_rel	epo_stimulation	49.71760229	10	sd_rSTAT5A_rel
rSTAT5A_rel	epo_stimulation	46.9281201	15	sd_rSTAT5A_rel
rSTAT5A_rel	epo_stimulation	47.83657456	20	sd_rSTAT5A_rel
rSTAT5A_rel	epo_stimulation	46.92872725	30	sd_rSTAT5A_rel
rSTAT5A_rel	epo_stimulation	40.59775294	40	sd_rSTAT5A_rel
rSTAT5A_rel	epo_stimulation	43.78366389	50	sd_rSTAT5A_rel
rSTAT5A_rel	epo_stimulation	44.45738765	60	sd_rSTAT5A_rel
rSTAT5A_rel	epo_stimulation	41.32715926	80	sd_rSTAT5A_rel
rSTAT5A_rel	epo_stimulation	41.06273321	100	sd_rSTAT5A_rel
rSTAT5A_rel	epo_stimulation	39.23583003	120	sd_rSTAT5A_rel
rSTAT5A_rel	epo_stimulation	36.61946054	160	sd_rSTAT5A_rel
rSTAT5A_rel	epo_stimulation	34.8937144	200	sd_rSTAT5A_rel
rSTAT5A_rel	epo_stimulation	32.21107716	240	sd_rSTAT5A_rel
